[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 05:50:19.938 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 05:50:19.941 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 05:50:19.941 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 05:50:19.944 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 05:50:19.997 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[ProcessExecutor]2021-04-14 08:29:47.160 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 08:29:48.199 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 08:29:48.202 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 08:29:48.202 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 08:29:48.205 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 08:29:48.258 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:29:48.454 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 08:29:48.456 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 08:29:48.456 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 08:29:48.458 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 08:29:48.458 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:29:48.518 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:29:48.520 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[ProcessExecutor]2021-04-14 08:33:34.348 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 08:33:35.774 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 08:33:35.777 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 08:33:35.777 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 08:33:35.779 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
